# Função: x/2 - tan(2*x)
"# Intervalo: [pi/4 + 1e-10, 3*pi/4 - 1e-10], Precisão: 1e-10, Iterações Máximas: 100"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,0.7853981634974483,2.356194490092345,5000000000.392699,-4999999998.821903,1.5707963267948966,0.7853981633974483,1.0
2,1.5707963267948966,2.356194490092345,0.7853981633974483,-4999999998.821903,1.9634954084436207,-0.018252295578189612,0.19999999997962817
3,1.5707963267948966,1.9634954084436207,0.7853981633974483,-0.018252295578189612,1.7671458676192586,0.4693593714951129,0.1111111110985359
4,1.7671458676192586,1.9634954084436207,0.4693593714951129,-0.018252295578189612,1.8653206380314398,0.26448168120490567,0.05263157894172525
5,1.8653206380314398,1.9634954084436207,0.26448168120490567,-0.018252295578189612,1.9144080232375302,0.13652522093653724,0.025641025638346897
6,1.9144080232375302,1.9634954084436207,0.13652522093653724,-0.018252295578189612,1.9389517158405756,0.06312868907190296,0.012658227846795588
7,1.9389517158405756,1.9634954084436207,0.06312868907190296,-0.018252295578189612,1.9512235621420981,0.023532634554811523,0.0062893081754559765
8,1.9512235621420981,1.9634954084436207,0.023532634554811523,-0.018252295578189612,1.9573594852928595,0.0029270929062123747,0.0031347962379242055
9,1.9573594852928595,1.9634954084436207,0.0029270929062123747,-0.018252295578189612,1.96042744686824,-0.007589117821377225,0.0015649452267574044
10,1.9573594852928595,1.96042744686824,0.0029270929062123747,-0.007589117821377225,1.9588934660805497,-0.0023128648078699168,0.0007830853562238853
11,1.9573594852928595,1.9588934660805497,0.0029270929062123747,-0.0023128648078699168,1.9581264756867047,0.00031162342712212057,0.0003916960438299497
12,1.9581264756867047,1.9588934660805497,0.00031162342712212057,-0.0023128648078699168,1.958509970883627,-0.000999489920348232,0.0001958096729778503
13,1.9581264756867047,1.958509970883627,0.00031162342712212057,-0.000999489920348232,1.958318223285166,-0.00034365098331044146,9.791442278447778e-05
14,1.9581264756867047,1.958318223285166,0.00031162342712212057,-0.00034365098331044146,1.9582223494859352,-1.5943265830277712e-05,4.8959608318133e-05
15,1.9581264756867047,1.9582223494859352,0.00031162342712212057,-1.5943265830277712e-05,1.9581744125863199,0.00014785770202220474,2.4480403434548314e-05
16,1.9581744125863199,1.9582223494859352,0.00014785770202220474,-1.5943265830277712e-05,1.9581983810361276,6.59616242759984e-05,1.2240051896569913e-05
17,1.9581983810361276,1.9582223494859352,6.59616242759984e-05,-1.5943265830277712e-05,1.9582103652610314,2.501028087238617e-05,6.119988493796571e-06
18,1.9582103652610314,1.9582223494859352,2.501028087238617e-05,-1.5943265830277712e-05,1.9582163573734834,4.533782946501673e-06,3.059984883362147e-06
19,1.9582163573734834,1.9582223494859352,4.533782946501673e-06,-1.5943265830277712e-05,1.9582193534297092,-5.704672583892824e-06,1.5299901008077834e-06
20,1.9582163573734834,1.9582193534297092,4.533782946501673e-06,-5.704672583892824e-06,1.9582178554015963,-5.854276044009476e-07,7.649956356217665e-07
21,1.9582163573734834,1.9582178554015963,4.533782946501673e-06,-5.854276044009476e-07,1.9582171063875398,1.974181974598499e-06,3.8249796411551985e-07
22,1.9582171063875398,1.9582178554015963,1.974181974598499e-06,-5.854276044009476e-07,1.958217480894568,6.943782609889998e-07,1.9124894548159377e-07
23,1.958217480894568,1.9582178554015963,6.943782609889998e-07,-5.854276044009476e-07,1.9582176681480823,5.4475597266980866e-08,9.562446359675797e-08
24,1.9582176681480823,1.9582178554015963,5.4475597266980866e-08,-5.854276044009476e-07,1.9582177617748393,-2.6547593632369485e-07,4.781222951236959e-08
25,1.9582176681480823,1.9582177617748393,5.4475597266980866e-08,-2.6547593632369485e-07,1.9582177149614608,-1.0550015271754107e-07,2.390611532768713e-08
26,1.9582176681480823,1.9582177149614608,5.4475597266980866e-08,-1.0550015271754107e-07,1.9582176915547715,-2.551227352257691e-08,1.1953057806719155e-08
27,1.9582176681480823,1.9582176915547715,5.4475597266980866e-08,-2.551227352257691e-08,1.9582176798514268,1.448166292287768e-08,5.976528939078475e-09
28,1.9582176798514268,1.9582176915547715,1.448166292287768e-08,-2.551227352257691e-08,1.958217685703099,-5.515305037180676e-09,2.988264460609513e-09
29,1.9582176798514268,1.958217685703099,1.448166292287768e-08,-5.515305037180676e-09,1.958217682777263,4.4831790085157346e-09,1.4941322325371876e-09
30,1.958217682777263,1.958217685703099,4.4831790085157346e-09,-5.515305037180676e-09,1.958217684240181,-5.160629979156624e-10,7.470661157104861e-10
31,1.958217682777263,1.958217684240181,4.4831790085157346e-09,-5.160629979156624e-10,1.958217683508722,1.9835580094042382e-09,3.7353305799477e-10
32,1.958217683508722,1.958217684240181,1.9835580094042382e-09,-5.160629979156624e-10,1.9582176838744516,7.337475067703385e-10,1.8676652896250325e-10
33,1.9582176838744516,1.958217684240181,7.337475067703385e-10,-5.160629979156624e-10,1.9582176840573162,1.0884225468385063e-10,9.338326447253119e-11
