# Função: x/2 - tan(2*x)
"# Intervalo: [7*pi/4 + 1e-2, 9*pi/4 - 1e-2], Precisão: 1e-10, Iterações Máximas: 200"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,5.507787143782139,7.058583470577035,52.74722672743985,-46.464041420260266,6.332292333411927,3.067615100097674,0.1146964004382552
2,6.332292333411927,7.058583470577035,3.067615100097674,-46.464041420260266,6.377273297424691,2.99820763433562,0.007053322307972582
3,6.377273297424691,7.058583470577035,2.99820763433562,-46.464041420260266,6.418571649229137,2.9316956427552423,0.006434196587866453
4,6.418571649229137,7.058583470577035,2.9316956427552423,-46.464041420260266,6.456557110718735,2.86693598579423,0.005883237898807876
5,6.456557110718735,7.058583470577035,2.86693598579423,-46.464041420260266,6.491544680927766,2.8031296727391135,0.005389714147978511
6,6.491544680927766,7.058583470577035,2.8031296727391135,-46.464041420260266,6.523807204259165,2.739710826050988,0.004945352050001687
7,6.523807204259165,7.058583470577035,2.739710826050988,-46.464041420260266,6.553584045647436,2.676277857929277,0.004543596478029044
8,6.553584045647436,7.058583470577035,2.676277857929277,-46.464041420260266,6.581087301610324,2.6125491715651723,0.0041791355595842865
9,6.581087301610324,7.058583470577035,2.6125491715651723,-46.464041420260266,6.606506390540828,2.5483336867310262,0.003847584097837079
10,6.606506390540828,7.058583470577035,2.5483336867310262,-46.464041420260266,6.630011541016405,2.4835106168575973,0.0035452653936064228
11,6.630011541016405,7.058583470577035,2.4835106168575973,-46.464041420260266,6.6517565086982176,2.4180151666506924,0.00326905647453846
12,6.6517565086982176,7.058583470577035,2.4180151666506924,-46.464041420260266,6.671880738992751,2.3518280908493927,0.003016275482401838
13,6.671880738992751,7.058583470577035,2.3518280908493927,-46.464041420260266,6.69051112202303,2.2849678041999817,0.002784597871596642
14,6.69051112202303,7.058583470577035,2.2849678041999817,-46.464041420260266,6.707763441186886,2.2174841902268696,0.002571992783455072
15,6.707763441186886,7.058583470577035,2.2174841902268696,-46.464041420260266,6.723743586817737,2.1494535449313843,0.002376673860999231
16,6.723743586817737,7.058583470577035,2.1494535449313843,-46.464041420260266,6.7385485864509915,2.0809742792326325,0.002197060604864117
17,6.7385485864509915,7.058583470577035,2.0809742792326325,-46.464041420260266,6.752267489467649,2.012163129618508,0.0020317475630307765
18,6.752267489467649,7.058583470577035,2.012163129618508,-46.464041420260266,6.764982134290286,1.9431517128201707,0.0018794794384140714
19,6.764982134290286,7.058583470577035,1.9431517128201707,-46.464041420260266,6.776767819486357,1.8740833209412875,0.0017391307345932677
20,6.776767819486357,7.058583470577035,1.8740833209412875,-46.464041420260266,6.7876938952105785,1.80510989663436,0.001609688930128476
21,6.7876938952105785,7.058583470577035,1.80510989663436,-46.464041420260266,6.797824287812239,1.7363891587507783,0.001490240431754485
22,6.797824287812239,7.058583470577035,1.7363891587507783,-46.464041420260266,6.807217967755726,1.668081870651003,0.0013799587420268793
23,6.807217967755726,7.058583470577035,1.668081870651003,-46.464041420260266,6.81592936898831,1.60034925817418,0.0012780944110453041
24,6.81592936898831,7.058583470577035,1.60034925817418,-46.464041420260266,6.824008766354823,1.5333505935966512,0.0011839664401294455
25,6.824008766354823,7.058583470577035,1.5333505935966512,-46.464041420260266,6.831502616476055,1.4672409668313184,0.0010969548782955134
26,6.831502616476055,7.058583470577035,1.4672409668313184,-46.464041420260266,6.838453866585102,1.402169266495584,0.0010164944071659988
27,6.838453866585102,7.058583470577035,1.402169266495584,-46.464041420260266,6.84490223508837,1.3382763920432525,0.0009420687515758972
28,6.84490223508837,7.058583470577035,1.3382763920432525,-46.464041420260266,6.850884467037875,1.2756937145872902,0.000873205785075969
29,6.850884467037875,7.058583470577035,1.2756937145872902,-46.464041420260266,6.8564345672341265,1.2145417989597107,0.0008094732242870567
30,6.8564345672341265,7.058583470577035,1.2145417989597107,-46.464041420260266,6.8615840132987245,1.1549293935400435,0.0007504748254363996
31,6.8615840132987245,7.058583470577035,1.1549293935400435,-46.464041420260266,6.866361950743274,1.0969526879621572,0.0006958470116816643
32,6.866361950743274,7.058583470577035,1.0969526879621572,-46.464041420260266,6.870795371802263,1.040694832440162,0.0006452558720033281
33,6.870795371802263,7.058583470577035,1.040694832440162,-46.464041420260266,6.874909279580828,0.9862257065221643,0.000598394482205635
34,6.874909279580828,7.058583470577035,0.9862257065221643,-46.464041420260266,6.878726838885629,0.9336019198844995,0.0005549805064535934
35,6.878726838885629,7.058583470577035,0.9336019198844995,-46.464041420260266,6.882269514951737,0.882867023527393,0.0005147540442017886
36,6.882269514951737,7.058583470577035,0.882867023527393,-46.464041420260266,6.885557201145527,0.8340519065482592,0.00047747569263429496
37,6.885557201145527,7.058583470577035,0.8340519065482592,-46.464041420260266,6.8886083366089625,0.7871753515920555,0.0004429247990803208
38,6.8886083366089625,7.058583470577035,0.7871753515920555,-46.464041420260266,6.891440014711334,0.7422447210808407,0.0004108978814770624
39,6.891440014711334,7.058583470577035,0.7422447210808407,-46.464041420260266,6.894068083087822,0.6992567463228914,0.00038120719795843393
