k          a           b           f(a)        f(b)         e         e/|bk|       xk       f(xk)
1      	0.01000     2.00000     -0.10000     0.22332     1.99000     0.99500     0.62548     -0.074293
2      	0.62548     2.00000     -0.07429     0.22332     1.37452     0.68726     0.96860     -0.025383
3      	0.96860     2.00000     -0.02538     0.22332     1.03140     0.51570     1.0739     -0.0056231
4      	1.07386     2.00000     -0.00562     0.22332     0.92614     0.46307     1.0966     -0.0010981
5      	1.09661     2.00000     -0.00110     0.22332     0.90339     0.45170     1.1010     -0.00020878
6      	1.10103     2.00000     -0.00021     0.22332     0.89897     0.44949     1.1019     -0.000039486
7      	1.10187     2.00000     -0.00004     0.22332     0.89813     0.44907     1.1020     -0.0000074607
8      	1.10203     2.00000     -0.00001     0.22332     0.89797     0.44899     1.1021     -0.0000014094
9      	1.10206     2.00000     -0.00000     0.22332     0.89794     0.44897     1.1021     -2.6624E-7
10     	1.10206     2.00000     -0.00000     0.22332     0.89794     0.44897     1.1021     -5.0293E-8
11     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -9.5004E-9
12     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -1.7946E-9
13     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -3.3901E-10
14     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -6.4039E-11
15     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -1.2097E-11
16     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -2.2852E-12
17     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -4.3154E-13
18     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -8.1712E-14
19     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -1.5432E-14
20     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -2.8866E-15
21     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -4.4409E-16
22     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     -1.1102E-16
23     	1.10207     2.00000     -0.00000     0.22332     0.89793     0.44897     1.1021     1.1102E-16
24     	1.10207     1.10207     -0.00000     0.00000     0.00000     0.00000     1.1021     -1.1102E-16

xk = (ak * fbk - bk * fak) / (fbk - fak)		e = |(bk - ak)|

A raiz (aproximada) da funcao eh: 1.10206532824932
