k          a           b           f(a)        f(b)         e         e/|bk|       xk       f(xk)
1      	0.50000     0.60000     8.42425     -1.74926     0.10000     0.16667     0.55000     0.41604
2      	0.55000     0.60000     0.41604     -1.74926     0.05000     0.08333     0.57500     -0.90520
3      	0.55000     0.57500     0.41604     -0.90520     0.02500     0.04348     0.56250     -0.32684
4      	0.55000     0.56250     0.41604     -0.32684     0.01250     0.02222     0.55625     0.01988
5      	0.55625     0.56250     0.01988     -0.32684     0.00625     0.01111     0.55938     -0.15906
6      	0.55625     0.55938     0.01988     -0.15906     0.00312     0.00559     0.55781     -0.07105
7      	0.55625     0.55781     0.01988     -0.07105     0.00156     0.00280     0.55703     -0.02596
8      	0.55625     0.55703     0.01988     -0.02596     0.00078     0.00140     0.55664     -0.00314
9      	0.55625     0.55664     0.01988     -0.00314     0.00039     0.00070     0.55645     0.00834
10     	0.55645     0.55664     0.00834     -0.00314     0.00020     0.00035     0.55654     0.00260
11     	0.55654     0.55664     0.00260     -0.00314     0.00010     0.00018     0.55659     -0.00027
12     	0.55654     0.55659     0.00260     -0.00027     0.00005     0.00009     0.55657     0.00116
13     	0.55657     0.55659     0.00116     -0.00027     0.00002     0.00004     0.55658     0.00044
14     	0.55658     0.55659     0.00044     -0.00027     0.00001     0.00002     0.55659     0.00009
15     	0.55659     0.55659     0.00009     -0.00027     0.00001     0.00001     0.55659     -0.00009
16     	0.55659     0.55659     0.00009     -0.00009     0.00000     0.00001     0.55659     0.00000
17     	0.55659     0.55659     0.00009     0.00000     0.00000     0.00000     0.55659     0.00004
18     	0.55659     0.55659     0.00004     0.00000     0.00000     0.00000     0.55659     0.00002
19     	0.55659     0.55659     0.00002     0.00000     0.00000     0.00000     0.55659     0.00001

e = |(bk - ak)|

A raiz (aproximada) da funcao eh: 0.556587028503418
